 ~id,~label
 Areafivorwon,player
 Azerdeyl,player
 Beetrain,player
 Bigbully,player
 Boogieman,player
 Caffle,player
 Chalkybones,player
 Chetirelapi,player
 Cosine,player
 Cowboybebop,player
 Dafuqman,player
 Daninda,player
 Deekay,player
 Deface,player
 Destoryor,player
 Ducksnbeers,player
 Dutchwaffle,player
 Ellbot,player
 Ellock,player
 Fappinfather,player
 Fiveforwonjr,player
 Garrok,player
 Gotyourgooch,player
 Halfhorny,player
 Hawee,player
 Heartstopper,player
 Helztalon,player
 Highness,player
 Hyphae,player
 Jaygoteem,player
 Koncha,player
 Maelstromx,player
 Mahrunes,player
 Marijain,player
 Meetball,player
 Mozu,player
 Nessu,player
 Pablö,player
 Puffypenguin,player
 Schmecles,player
 Shakti,player
 Shamatic,player
 Shetface,player
 Shieldomatic,player
 Shwackt,player
 Skeebo,player
 Soules,player
 Squatch,player
 Stabsy,player
 Stabymcstabs,player
 Striderz,player
 Thugshot,player
 Triruki,player
 Umplebee,player
 Umpleboom,player
 Unyt,player
 Viciouslol,player
 Whitey,player
 Wye,player
 Wyntar,player
 Xenophobia,player
 Xldauntless,player
 Zafo,player
 Zerodark,player
